ID,Name,Category,Subcollection,Collection_Line,Era,Status,Price,Material,Main_Image,Hover_Image,Extra_Views,Type,Color,Fit,Weight,Season,Technique,Motif,Story
paint-03,Printemps Rose,paintings,,paintings,,available,ENTER PRICE HERE,Mixed media on canvas,images/paintings/paint-03-view-1.jpg,,,Painting,Pink,,,,Hand-painted,Floral,
paint-04,Soleil,paintings,,paintings,,available,ENTER PRICE HERE,Mixed media on canvas,images/paintings/paint-04-view-1.jpg,,,Painting,,,,,Hand-painted,,
paint-11,Brasier,paintings,,paintings,,available,ENTER PRICE HERE,Mixed media on canvas,images/paintings/paint-11-view-1.jpg,,,Painting,,,,,Hand-painted,,
paint-12,Jardin Émeraude,paintings,,paintings,,available,ENTER PRICE HERE,Mixed media on canvas,images/paintings/paint-12-view-1.jpg,,,Painting,Green,,,,Hand-painted,Floral,
paint-13,Roses Ambrées,paintings,,paintings,,available,ENTER PRICE HERE,Mixed media on canvas,images/paintings/paint-13-view-1.jpg,,,Painting,Gold,,,,Hand-painted,Floral,
plo-01,Pomegranate I,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted · Hand-embroidered linen,images/plo/plo-01-view-1.jpeg,images/plo/plo-01-view-2.jpeg,images/plo/plo-01-view-3.jpeg,Pillow,Red,,,,Hand-painted,,
plo-03,Fig & Honey,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted · Hand-embroidered linen,images/plo/plo-03-view-1.jpeg,images/plo/plo-03-view-2.jpeg,images/plo/plo-03-view-3.jpeg,Pillow,Red,,,,Hand-painted,,
plo-04,Quince,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted · Hand-embroidered linen,images/plo/plo-04-view-1.jpeg,,,Pillow,Multicolor,,,,Hand-painted,,
plo-05,Persimmon,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted · Hand-embroidered linen,images/plo/plo-05-view-1.jpeg,,,Pillow,Multicolor,,,,Hand-painted,,
plo-06,Apricot Moon,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted · Hand-embroidered linen,images/plo/plo-06-view-1.jpeg,,,Pillow,Orange,,,,Hand-painted,,
